AUTO_ID,AGENT_ID,TYPE_ACTION,CREATE_DATE
251914,bpomb02,START_BREAK,1750576812000
251915,bpomb02,START_WORKING,1750577644000
251916,bpomb02,START_BREAK,1750577662000
251917,bpomb02,START_WORKING,1750578220000
251918,bpomb02,START_BREAK,1750578234000
251877,bpomb02,END_SHIFT,1750579095000
251919,bpomb02,START_WORKING,1750579096000
227839,bpomb09,START_SHIFT,1748736394000
227844,bpomb09,START_BREAK,1748736397000
227845,bpomb09,START_WORKING,1748737059000
227846,bpomb09,START_BREAK,1748742631000
227847,bpomb09,START_WORKING,1748743750000
227848,bpomb09,START_BREAK,1748758155000
227849,bpomb09,START_WORKING,1748758160000
227850,bpomb09,START_BREAK,1748758241000
227851,bpomb09,START_WORKING,1748758714000
227852,bpomb09,START_BREAK,1748759477000
227840,bpomb09,END_SHIFT,1748759847000
227853,bpomb09,START_WORKING,1748759848000
227842,bpomb09,START_SHIFT,1748762163000
227854,bpomb09,START_BREAK,1748775750000
227843,bpomb09,END_SHIFT,1748776424000
227855,bpomb09,START_WORKING,1748776425000
228954,bpomb09,START_SHIFT,1748850120000
228960,bpomb09,START_BREAK,1748850122000
228961,bpomb09,START_WORKING,1748850340000
228962,bpomb09,START_BREAK,1748850513000
228963,bpomb09,START_WORKING,1748850521000
228964,bpomb09,START_BREAK,1748852112000
228965,bpomb09,START_WORKING,1748852423000
228966,bpomb09,START_BREAK,1748852466000
228956,bpomb09,END_SHIFT,1748854354000
228967,bpomb09,START_WORKING,1748854355000
228955,bpomb09,START_SHIFT,1748854368000
228968,bpomb09,START_BREAK,1748870131000
228957,bpomb09,END_SHIFT,1748871031000
228969,bpomb09,START_WORKING,1748871033000
228958,bpomb09,START_SHIFT,1748872910000
228970,bpomb09,START_BREAK,1748878180000
228959,bpomb09,END_SHIFT,1748878685000
228971,bpomb09,START_WORKING,1748878687000
230397,bpomb09,START_SHIFT,1748935889000
230403,bpomb09,START_BREAK,1748935904000
230404,bpomb09,START_WORKING,1748936439000
230405,bpomb09,START_BREAK,1748941534000
230406,bpomb09,START_WORKING,1748942037000
230407,bpomb09,START_BREAK,1748944075000
230398,bpomb09,END_SHIFT,1748944832000
230408,bpomb09,START_WORKING,1748944833000
230399,bpomb09,START_SHIFT,1748944886000
230409,bpomb09,START_BREAK,1748945834000
230410,bpomb09,START_WORKING,1748946685000
230411,bpomb09,START_BREAK,1748953644000
230412,bpomb09,START_WORKING,1748953704000
230413,bpomb09,START_BREAK,1748953793000
230400,bpomb09,END_SHIFT,1748955383000
230414,bpomb09,START_WORKING,1748955384000
230402,bpomb09,START_SHIFT,1748957358000
230415,bpomb09,START_BREAK,1748957361000
230416,bpomb09,START_WORKING,1748957629000
230417,bpomb09,START_BREAK,1748964384000
230401,bpomb09,END_SHIFT,1748964789000
230419,bpomb09,START_WORKING,1748964790000
231747,bpomb09,START_SHIFT,1748995414000
231751,bpomb09,START_BREAK,1748995417000
231752,bpomb09,START_WORKING,1748995998000
231753,bpomb09,START_BREAK,1748999811000
231754,bpomb09,START_WORKING,1749000322000
231755,bpomb09,START_BREAK,1749000646000
231756,bpomb09,START_WORKING,1749000797000
231757,bpomb09,START_BREAK,1749015272000
231748,bpomb09,END_SHIFT,1749016872000
231758,bpomb09,START_WORKING,1749016874000
231749,bpomb09,START_SHIFT,1749018819000
231759,bpomb09,START_BREAK,1749034547000
231750,bpomb09,END_SHIFT,1749036313000
231760,bpomb09,START_WORKING,1749036314000
232823,bpomb09,START_SHIFT,1749082541000
232827,bpomb09,START_BREAK,1749082544000
232828,bpomb09,START_WORKING,1749082985000
232829,bpomb09,START_BREAK,1749092631000
232830,bpomb09,START_WORKING,1749092817000
232831,bpomb09,START_BREAK,1749098110000
232832,bpomb09,START_WORKING,1749099146000
232833,bpomb09,START_BREAK,1749106748000
232824,bpomb09,END_SHIFT,1749107294000
232834,bpomb09,START_WORKING,1749107295000
232825,bpomb09,START_SHIFT,1749109304000
232836,bpomb09,START_BREAK,1749119852000
232837,bpomb09,START_WORKING,1749120008000
232835,bpomb09,START_BREAK,1749121562000
232826,bpomb09,END_SHIFT,1749121932000
232840,bpomb09,START_WORKING,1749121933000
234033,bpomb09,START_SHIFT,1749195190000
234035,bpomb09,START_BREAK,1749195193000
234036,bpomb09,START_WORKING,1749195665000
234037,bpomb09,START_BREAK,1749200480000
234038,bpomb09,START_WORKING,1749201267000
234040,bpomb09,START_BREAK,1749217500000
234039,bpomb09,START_WORKING,1749217502000
234041,bpomb09,START_BREAK,1749223854000
234034,bpomb09,END_SHIFT,1749224246000
234043,bpomb09,START_WORKING,1749224247000
234942,bpomb09,START_SHIFT,1749281852000
234946,bpomb09,START_BREAK,1749281858000
234948,bpomb09,START_WORKING,1749282171000
234949,bpomb09,START_BREAK,1749288760000
234950,bpomb09,START_WORKING,1749289386000
234951,bpomb09,START_BREAK,1749293567000
234952,bpomb09,START_WORKING,1749293914000
234953,bpomb09,START_BREAK,1749302534000
234944,bpomb09,END_SHIFT,1749303204000
234955,bpomb09,START_WORKING,1749303205000
234945,bpomb09,START_SHIFT,1749304833000
234954,bpomb09,START_BREAK,1749309846000
234947,bpomb09,END_SHIFT,1749310309000
234956,bpomb09,START_WORKING,1749310310000
235873,bpomb09,START_SHIFT,1749341713000
235877,bpomb09,START_BREAK,1749341716000
235879,bpomb09,START_WORKING,1749342232000
